name,position,area
Shy Shoham, Professor, Neuroscience Institute. Methods for controlling, imaging, and analyzing neural systems.
Einar Sigurdsson, Professor, Neuroscience Institute. Age-related degenerative diseases.
Eero Simoncelli, Professor, Center for Neural Science. Computational neuroscience and visual/auditory perception.
Tanya Sippy, Assistant Professor, Neuroscience Institute. Neural circuits underlying reward processing.
Wendy Suzuki, Professor, Center for Neural Science. The effects of exercise on learning, memory and cognition.
Nicolas Tritsch, Assistant Professor, Neuroscience Institute. Synaptic mechanisms underlying control of movement.
Richard Tsien, Chair, Neuroscience Institute. Signaling mechanisms linking activity to cytoplasmic events.
Xiao-Jing Wang, Professor, Center for Neural Science. Computational neuroscience, decisions & working memory.

Karen Adolph, Professor, Psychology. Behavioral flexibility in infants, children, and adults.
Justin Blau, Professor, Biology. Behavioral genetics and neurobiology of circadian rhythms.
Marisa Carrasco, Professor, Psychology. Visual perception and attention.
Aravinda Chakravarti, Director, Center for Human Genetics & Genomics. Human molecular genetics.
Clayton Curtis, Associate Professor, Psychology. Prefrontal cortex, working memory, and control of action.
Claude Desplan, Professor, Biology. Pattern formation and development of the visual system.
Gilad Evrony, Assistant Professor, Human Genetics & Genomics. Genomics technologies for neuroscience.
Todd Gureckis, Associate Professor, Psychology. Computation and cognition.
Catherine Hartley, Assistant Professor, Psychology. Learning and decision-making.
Michael Landy, Professor, Psychology. Visual perception and the visual control of action.
Efrat Levy, Associate Professor, Nathan Kline Institute. Alzheimer’s and other neurodegenerative diseases.
Esteban Mazzoni, Associate Professor, Biology. Differentiation of stem cells into disease relevant neuronal cell types.
Tom Neubert, Professor, Cell Biology. Using mass spectrometry to study proteins and their posttranslational modifications.
Dimitris Placantonakis, Associate Professor, Neurosurgery. Glioma, stem cells, chromatin organization, adhesion receptors. 
David Poeppel, Professor, Psychology. Cognitive and neurobiological mechanisms of speech perception and auditory cognition.
Neville Sanjana, Assistant Professor, Biology. Genetics and genomics in neuroscience. 
Helen Scharfman, Professor, Nathan Kline Institute. Excitability, plasticity and dysfunction in complex disorders.
Regina Sullivan, Professor, Nathan Kline Institute. Infant attachment and amygdala-dependent fear learning.
Mario Svirsky, Professor, Otolaryngology. Auditory neuroscience.
Dirk Trauner, Professor, Chemistry. Chemical neuroscience and photopharmacology.
Jessica Treisman, Professor, Skirball Institute. Pattern formation in the Drosophila visual system.
Jing Wang, Associate Professor, Neuroscience & Physiology. AMPA receptors in pain and anesthesia.
Donald Wilson, Professor, Nathan Kline Institute. Neurobiology of memory and perception, especially olfaction.
Jonathan Winawer, Associate Professor, Psychology. Visual perception and cognition.
Thomas Wisniewski, Professor, Alzheimer’s Disease Center. Pathogenesis of Alzheimer’s and prion diseases.
Ed Ziff, Professor, Biochemistry and Molecular Pharmacology. Molecular mechanisms of synaptic regulation.
